"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","24-Aug-2026","15,337.18","12,843.77","2,493.41"
"FII/FPI","24-Aug-2026","12,332.64","11,150.98","1,181.66"
